,group,variable,value,articles
44,2013-08,2045,1,The world according to Itskov: Futurists convene at GF2045 (Part 1)
49,2013-09,1998,1,A first: Stanford engineers build computer using carbon nanotube technology
50,2013-09,2006,1,Researchers find sudden rise of global ecology of interacting robots that trade on markets at speeds too fast for humans
51,2013-09,2010,1,"Fusion, anyone? Not quite yet, but researchers show just how close we've come"
52,2013-09,2011,2,Researchers find sudden rise of global ecology of interacting robots that trade on markets at speeds too fast for humans<br><br>Research team develops tattoo-like skin thermometer patch
53,2013-09,2012,2,Solid-state battery could double the range of electric cars<br><br>A foundation for future research: Study tests precision of protein 'machine'
54,2013-09,2013,7,"The Drake Equation revisited: An interview with Sara Seager<br><br>The grid of the future<br><br>Solid-state battery could double the range of electric cars<br><br>Bioengineers researching smart cameras and sensors that mimic, exceed human capability<br><br>A first: Stanford engineers build computer using carbon nanotube technology<br><br>A foundation for future research: Study tests precision of protein 'machine'<br><br>DARPA partners with the DIY community to create the ultimate brain interface"
55,2013-09,2014,2,The Drake Equation revisited: An interview with Sara Seager<br><br>DARPA partners with the DIY community to create the ultimate brain interface
56,2013-09,2018,1,The Drake Equation revisited: An interview with Sara Seager
57,2013-09,2020,1,The Drake Equation revisited: An interview with Sara Seager
63,2013-10,2000,1,Breakthrough scientific discoveries no longer dominated by the very young: study
64,2013-10,2003,1,Forever young: Google's quest for the Fountain of Youth
65,2013-10,2006,1,Forever young: Google's quest for the Fountain of Youth
66,2013-10,2007,2,Forever young: Google's quest for the Fountain of Youth<br><br>The ultimate iron chef: When 3-D printers invade the kitchen
67,2013-10,2008,2,Breakthrough scientific discoveries no longer dominated by the very young: study<br><br>Forever young: Google's quest for the Fountain of Youth
68,2013-10,2010,1,Arizona solar plant achieves six hours after sun goes down
69,2013-10,2011,3,Breakthrough scientific discoveries no longer dominated by the very young: study<br><br>Forever young: Google's quest for the Fountain of Youth<br><br>The ultimate iron chef: When 3-D printers invade the kitchen
70,2013-10,2012,1,The ultimate iron chef: When 3-D printers invade the kitchen
71,2013-10,2013,6,"Niacin, the fountain of youth<br><br>'Bionic man' walks, breathes with artificial parts<br><br>Arizona solar plant achieves six hours after sun goes down<br><br>Forever young: Google's quest for the Fountain of Youth<br><br>The ultimate iron chef: When 3-D printers invade the kitchen<br><br>New device stores electricity on silicon chips"
72,2013-10,2014,1,The ultimate iron chef: When 3-D printers invade the kitchen
73,2013-10,2033,1,Forever young: Google's quest for the Fountain of Youth
75,2013-11,2003,1,Researchers in Spain to attempt to clone extinct mountain goat
76,2013-11,2006,1,"Thin, active invisibility cloak demonstrated for first time"
77,2013-11,2009,1,"Engineers develop real-time, 3-D teleconferencing technology (w/ Video)"
78,2013-11,2012,1,Neck tattoo patent filing from Motorola targets improved sound
79,2013-11,2013,3,"Neck tattoo patent filing from Motorola targets improved sound<br><br>Solid Concepts 3D prints world's first metal gun (w/ Video)<br><br>Thin, active invisibility cloak demonstrated for first time"
81,2013-12,2008,1,Computerizing people may be next step in tech
82,2013-12,2009,1,Fully functional loudspeaker is 3-D printed
83,2013-12,2011,2,Human stem cells converted to functional lung cells<br><br>Computerizing people may be next step in tech
84,2013-12,2012,2,"New hope for stem cells, regenerative medicine emerges from the lab<br><br>Computerizing people may be next step in tech"
85,2013-12,2013,1,Computerizing people may be next step in tech
86,2013-12,2014,1,Computerizing people may be next step in tech
87,2013-12,2015,1,Computerizing people may be next step in tech
90,2014-01,1974,1,Our world – an increasingly peaceful place
91,2014-01,2000,1,'Internet of Things' seen as tech industry's next big driver
92,2014-01,2012,2,'Internet of Things' seen as tech industry's next big driver<br><br>Our world – an increasingly peaceful place
93,2014-01,2013,2,'Internet of Things' seen as tech industry's next big driver<br><br>Our world – an increasingly peaceful place
94,2014-01,2014,4,'Internet of Things' seen as tech industry's next big driver<br><br>Our world – an increasingly peaceful place<br><br>Researchers achieve fastest real-world fiber speeds of 1.4Tb/s<br><br>Food in the sky? Highrise farming idea gains ground
95,2014-01,2015,1,Our world – an increasingly peaceful place
96,2014-01,2020,1,'Internet of Things' seen as tech industry's next big driver
97,2014-01,2050,2,Our world – an increasingly peaceful place<br><br>Food in the sky? Highrise farming idea gains ground
99,2014-02,1994,1,Biomaterials for the 21st century and how they will change our lives
100,2014-02,2004,1,How to make graphene superconducting
101,2014-02,2012,2,Biomaterials for the 21st century and how they will change our lives<br><br>Q&A: A documentarian working in virtual reality
102,2014-02,2014,3,Biomaterials for the 21st century and how they will change our lives<br><br>Q&A: A documentarian working in virtual reality<br><br>Groundbreaking analysis shows China's renewable energy future within reach
103,2014-02,2050,1,Groundbreaking analysis shows China's renewable energy future within reach
104,2014-03,1992,1,"Wind power cost competitive with natural gas, study finds"
105,2014-03,2011,1,D-Wave chip passes rigorous tests
106,2014-03,2012,1,Robotic prosthesis turns drummer into a three-armed cyborg (w/ Video)
107,2014-03,2013,1,D-Wave chip passes rigorous tests
108,2014-03,2014,8,"D-Wave chip passes rigorous tests<br><br>In a driverless future, drivers will do anything else<br><br>'Tribo-electric,' the buzzword of the future?<br><br>You'll hardly notice the next generation of wearable tech<br><br>Wind farms can provide society a surplus of reliable clean energy, study finds<br><br>Stand-alone photovoltaic power package for areas without electricity<br><br>Wind power cost competitive with natural gas, study finds<br><br>A breakthrough in creating invisibility cloaks, stealth technology"
109,2014-03,2015,1,Japan researchers testing tiny ear computer
110,2014-03,2016,1,Japan researchers testing tiny ear computer
111,2014-04,1999,1,Next generation solar plane unveiled in Switzerland (Update)
112,2014-04,2002,1,Next generation solar plane unveiled in Switzerland (Update)
113,2014-04,2004,1,Next generation solar plane unveiled in Switzerland (Update)
114,2014-04,2009,1,Next generation solar plane unveiled in Switzerland (Update)
115,2014-04,2010,2,Engineered salmon may be a tough sell<br><br>Mysterious robotic plane hits 500 days in space; what's it doing?
116,2014-04,2011,1,Mysterious robotic plane hits 500 days in space; what's it doing?
117,2014-04,2012,3,Engineered salmon may be a tough sell<br><br>Swedish city introduces payment by hand scanning<br><br>Mysterious robotic plane hits 500 days in space; what's it doing?
118,2014-04,2013,2,Next generation solar plane unveiled in Switzerland (Update)<br><br>Mysterious robotic plane hits 500 days in space; what's it doing?
119,2014-04,2014,8,"Researchers reverse a liver disorder in mice by correcting a mutated gene<br><br>New laser technology could divert lightning strikes<br><br>Bacterial 'FM radio' developed<br><br>See what a child will look like using automated age-progression software (w/ video)<br><br>Next generation solar plane unveiled in Switzerland (Update)<br><br>Switch on sunlight for a brighter future<br><br>Spanish island to be fully powered by wind, water<br><br>New solar reactor technology to produce liquid hydrocarbon fuels"
120,2014-04,2015,2,Next generation solar plane unveiled in Switzerland (Update)<br><br>Switch on sunlight for a brighter future
121,2014-04,2020,1,"Spanish island to be fully powered by wind, water"
129,2014-05,1994,2,Preparations for operation of Wendelstein 7-X starting<br><br>Israel solves water woes with desalination
130,2014-05,1996,1,New graphene-type material created
131,2014-05,2001,1,"Solar energy prospects are bright for Scotland, experts say"
132,2014-05,2004,2,Designing the fastest car on the planet<br><br>Stem cells as a future source for eco-friendly meat
133,2014-05,2005,2,Preparations for operation of Wendelstein 7-X starting<br><br>Israel solves water woes with desalination
134,2014-05,2006,2,DARPA-funded DEKA arm system earns FDA approval<br><br>Israel solves water woes with desalination
135,2014-05,2007,3,Preparations for operation of Wendelstein 7-X starting<br><br>Designing the fastest car on the planet<br><br>Stem cells as a future source for eco-friendly meat
136,2014-05,2008,2,Environmentally friendly solar cell pushes forward the 'next big thing in photovoltaics'<br><br>Researchers optimizing graphene for various applications
137,2014-05,2009,3,Preparations for operation of Wendelstein 7-X starting<br><br>Artificial intelligence lenses for the blind created<br><br>Israel solves water woes with desalination
138,2014-05,2010,4,"Superheavy element 117 confirmed<br><br>Researchers optimizing graphene for various applications<br><br>With half the planet up for grabs, a call for deep-ocean stewardship<br><br>New breed of solar cells: Quantum-dot photovoltaics set new record for efficiency in such devices"
139,2014-05,2011,1,Pair of seismologists publicly wonder if it might be possible to predict largest earthquakes
140,2014-05,2012,5,Environmentally friendly solar cell pushes forward the 'next big thing in photovoltaics'<br><br>Nuclear transfer to reprogram adult patient cells into stem cells demonstrated<br><br>Transistors that wrap around tissues: New implanted devices may reshape medicine<br><br>Artificial intelligence lenses for the blind created<br><br>Workspace of the future: everywhere
141,2014-05,2013,6,"Ground breaking technique offers DNA 'Sat Nav' direct to your ancestor's home 1,000 years ago<br><br>Transistors that wrap around tissues: New implanted devices may reshape medicine<br><br>Artificial intelligence lenses for the blind created<br><br>Stem cells as a future source for eco-friendly meat<br><br>First broadband wireless connection... to the Moon?!<br><br>Israel solves water woes with desalination"
142,2014-05,2014,33,"Ground breaking technique offers DNA 'Sat Nav' direct to your ancestor's home 1,000 years ago<br><br>Physics students devise concept for Star Wars-style deflector shields<br><br>Environmentally friendly solar cell pushes forward the 'next big thing in photovoltaics'<br><br>How a 'sensor society' quietly takes over<br><br>Regenerating plastic grows back after damage (w/ video)<br><br>Ultra-fast, the bionic arm can catch objects on the fly (w/ Video)<br><br>Operation of longest superconducting cable worldwide started<br><br>Transistors that wrap around tissues: New implanted devices may reshape medicine<br><br>Preparations for operation of Wendelstein 7-X starting<br><br>Researchers optimizing graphene for various applications<br><br>The brain could be key to a better computer<br><br>Magnetic topological insulators are 1,000 times more energy-efficient for switching<br><br>With half the planet up for grabs, a call for deep-ocean stewardship<br><br>First 'heavy mouse' leads to first lab-grown tissue mapped from atomic life<br><br>Going beyond the surface: New tech could take light-based cancer treatment deep inside the body<br><br>Designing the fastest car on the planet<br><br>Pair of seismologists publicly wonder if it might be possible to predict largest earthquakes<br><br>Glasses-free 3-D projector (w/ Video)<br><br>Scientists discover how to turn light into matter after 80-year quest<br><br>Solar energy prospects are bright for Scotland, experts say<br><br>Japan's Hitachi unveils joking robot<br><br>First broadband wireless connection... to the Moon?!<br><br>A new way to make sheets of graphene<br><br>Algae biofuel can help meet world energy demand, researchers say<br><br>Hemp seeds planted in Kentucky following dispute<br><br>New goggle-like device may lead to 3-D augmented reality technology that minimizes visual fatigue<br><br>New breed of solar cells: Quantum-dot photovoltaics set new record for efficiency in such devices<br><br>The five biggest threats to human existence<br><br>Think fast, robot: Algorithm that harnesses data from new sensor could make autonomous robots more nimble<br><br>Unprecedented detail of intact neuronal receptor offers blueprint for drug developers<br><br>Israel solves water woes with desalination<br><br>Scientists developing electronic skin<br><br>Scientists use 3D printing to make artificial blood vessels"
143,2014-05,2015,3,Designing the fastest car on the planet<br><br>Artificial intelligence lenses for the blind created<br><br>Israel solves water woes with desalination
144,2014-05,2016,1,Designing the fastest car on the planet
145,2014-05,2025,1,"Solar energy prospects are bright for Scotland, experts say"
146,2014-05,2050,1,Israel solves water woes with desalination
155,2014-06,1976,1,Is passing a Turing Test a true measure of artificial intelligence?
156,2014-06,1991,1,Simulating time travel: Doctor Who meets Professor Heisenberg
157,2014-06,2000,1,Is passing a Turing Test a true measure of artificial intelligence?
158,2014-06,2009,2,Hydrogen breakthrough could be a game-changer for the future of car fuels<br><br>Architecture and urban design students helped create a fully functional microhouse built using 3-D printing technology
159,2014-06,2011,1,Why commercial space crew is critical for future exploration
160,2014-06,2013,3,"Next generation of bioplastics could be made from trees<br><br>Move over, silicon, there's a new circuit in town<br><br>Pie in the sky: Russian chain delivers pizza by drone"
161,2014-06,2014,20,"Why commercial space crew is critical for future exploration<br><br>The fuel cell for home<br><br>Electrical cables that store energy? New nanotech may provide power storage in electric cables, clothes<br><br>Simple sewing machine has high-tech role in future 'soft' machines<br><br>The quest for inhabited habitable planets<br><br>Are squiggly lines the future of password security?<br><br>Lithium sulfur: A battery revolution on the cheap?<br><br>China driving development of 'Internet of Things'<br><br>New generation of aerial robots for high-risk service tasks<br><br>Scientists find trigger to decode the genome<br><br>New computer program aims to teach itself everything about anything<br><br>Next generation of bioplastics could be made from trees<br><br>Superconducting secrets solved after 30 years<br><br>Building synthetic plants<br><br>Physicists find way to boot up quantum computers 72 times faster than previously possible<br><br>Robot valet to park cars at German airport<br><br>The goose bump sensor: A step toward direct detection of human emotional states<br><br>Next generation internet will arrive without fanfare, network architects say<br><br>Scientists create new battery that's cheap, clean, rechargeable... and organic<br><br>Architecture and urban design students helped create a fully functional microhouse built using 3-D printing technology"
162,2014-06,2015,3,Why commercial space crew is critical for future exploration<br><br>Building synthetic plants<br><br>Hydrogen breakthrough could be a game-changer for the future of car fuels
163,2014-06,2017,1,Why commercial space crew is critical for future exploration
164,2014-06,2020,2,China driving development of 'Internet of Things'<br><br>'Super' banana to face first human trial
165,2014-06,2024,1,Why commercial space crew is critical for future exploration
166,2014-06,2028,1,Why commercial space crew is critical for future exploration
167,2014-06,2050,1,Hydrogen breakthrough could be a game-changer for the future of car fuels
168,2014-07,1984,1,"WiTricity's wireless charging technology is coming soon to mobile devices, electric cars, and more"
169,2014-07,1986,1,"WiTricity's wireless charging technology is coming soon to mobile devices, electric cars, and more"
170,2014-07,1992,1,Climate engineering offers little hope of mitigation
171,2014-07,2004,2,"Quenching the world's water and energy crises, one tiny droplet at a time<br><br>The first direct-diode laser bright enough to cut and weld metal"
172,2014-07,2007,1,"WiTricity's wireless charging technology is coming soon to mobile devices, electric cars, and more"
173,2014-07,2009,2,"Dubai to build climate-controlled 'city', largest mall<br><br>The first direct-diode laser bright enough to cut and weld metal"
174,2014-07,2010,2,"Engineering researchers develop next-generation battery<br><br>WiTricity's wireless charging technology is coming soon to mobile devices, electric cars, and more"
175,2014-07,2011,2,"Astronauts to test free-flying ""housekeeper"" robots<br><br>Commercial Dream Chaser closer to critical design review and first flight"
176,2014-07,2012,2,"Graphene and related materials promise cheap, flexible printed cameras<br><br>Researchers demonstrate ultrasonically propelled nanorods spin dizzyingly fast"
177,2014-07,2013,5,"Device captures energy from walking to recharge wireless gadgets<br><br>Designing ultra-sensitive biosensors for early personalised diagnostics<br><br>WiTricity's wireless charging technology is coming soon to mobile devices, electric cars, and more<br><br>Medical advances turn science fiction into science fact<br><br>Mobile tech reshaping the health sector"
178,2014-07,2014,11,"Climate engineering offers little hope of mitigation<br><br>Dubai to build climate-controlled 'city', largest mall<br><br>Engineering researchers develop next-generation battery<br><br>New optical component set to revolutionise augmented reality<br><br>WiTricity's wireless charging technology is coming soon to mobile devices, electric cars, and more<br><br>Medical advances turn science fiction into science fact<br><br>Astronauts to test free-flying ""housekeeper"" robots<br><br>Commercial Dream Chaser closer to critical design review and first flight<br><br>The first direct-diode laser bright enough to cut and weld metal<br><br>Mobile tech reshaping the health sector<br><br>Researchers achieve 'holy grail' of battery design: A stable lithium anode"
179,2014-07,2015,1,Medical advances turn science fiction into science fact
180,2014-07,2016,1,Commercial Dream Chaser closer to critical design review and first flight
181,2014-07,2017,2,Commercial Dream Chaser closer to critical design review and first flight<br><br>Mobile tech reshaping the health sector
182,2014-07,2020,1,"Dubai to build climate-controlled 'city', largest mall"
186,2014-08,1994,1,BitTorrent unveils NSA-proof online calling and messaging software
187,2014-08,2000,1,Ecuador heralds digital currency plans (Update)
188,2014-08,2004,1,Bioengineers close to brewing opioid painkillers without using opium from poppies
189,2014-08,2007,1,Researchers develop new wireless power transfer technique
190,2014-08,2008,1,Bioengineers close to brewing opioid painkillers without using opium from poppies
191,2014-08,2009,2,Taking great ideas from the lab to the fab<br><br>States debate digital currency
192,2014-08,2010,3,Printing the metals of the future<br><br>Artificial retina: Physicists develop an interface to the optical nerve<br><br>Researchers study gallium to design adjustable electronic components
193,2014-08,2011,1,Lockheed Martin conducts first fully autonomous robot mission
194,2014-08,2012,5,Printing the metals of the future<br><br>On the frontiers of cyborg science<br><br>Ingested nanoparticles may damage liver<br><br>Robo-cook: Android restaurant boots up in China<br><br>New cancer-hunting 'nano-robots' to seek and destroy tumours
195,2014-08,2013,8,"BitTorrent unveils NSA-proof online calling and messaging software<br><br>Artificial retina: Physicists develop an interface to the optical nerve<br><br>Nanodiamond tech lights new path in medical diagnostics<br><br>Google 'anti-aging' group has a website<br><br>Mobile phones come alive with the sound of music, thanks to nanogenerators<br><br>Robo-cook: Android restaurant boots up in China<br><br>New cancer-hunting 'nano-robots' to seek and destroy tumours<br><br>Graphene reinvents the future"
196,2014-08,2014,28,"Taking great ideas from the lab to the fab<br><br>BitTorrent unveils NSA-proof online calling and messaging software<br><br>Captains of industry explore space's new frontiers<br><br>States debate digital currency<br><br>Nanoscale, biodegradable drug-delivery method could provide a year or more of steady doses<br><br>Used-cigarette butts offer energy storage solution<br><br>Team developing wearable tech for disease monitoring<br><br>New material allows for ultra-thin solar cells<br><br>Diamonds are a quantum computer's best friend<br><br>Artificial retina: Physicists develop an interface to the optical nerve<br><br>Tiny chip mimics brain, delivers supercomputer speed<br><br>Britons trust Wikipedia 'more than the news'<br><br>New graphene framework bridges gap between traditional capacitors, batteries<br><br>Could hemp nanosheets topple graphene for making the ideal supercapacitor?<br><br>Google 'anti-aging' group has a website<br><br>'Trojan horse' gold nanoparticles treatment could beat brain tumors<br><br>Why the hydrogen fuel cell vehicle rollout may now succeed<br><br>Laser 'Lightning rods' channel electricity through thin air<br><br>Scientists develop a water splitter that runs on an ordinary AAA battery<br><br>'Robo Brain' will teach robots everything from the Internet<br><br>Bioengineers close to brewing opioid painkillers without using opium from poppies<br><br>Researchers study gallium to design adjustable electronic components<br><br>NASA deep-space rocket, SLS, to launch in 2018<br><br>Synthetic virus developed to deliver a new generation of medicines<br><br>New cancer-hunting 'nano-robots' to seek and destroy tumours<br><br>Ecuador heralds digital currency plans (Update)<br><br>Google building fleet of package-delivering drones<br><br>Graphene reinvents the future"
197,2014-08,2015,5,Captains of industry explore space's new frontiers<br><br>States debate digital currency<br><br>Britons trust Wikipedia 'more than the news'<br><br>Why the hydrogen fuel cell vehicle rollout may now succeed<br><br>Scientists develop a water splitter that runs on an ordinary AAA battery
198,2014-08,2017,1,Captains of industry explore space's new frontiers
199,2014-08,2018,1,"NASA deep-space rocket, SLS, to launch in 2018"
200,2014-09,1985,1,"China to launch second space lab in 2016, official says"
201,2014-09,1988,1,Bringing gesture-control technology from Hollywood to corporate conference rooms
202,2014-09,1989,1,Inventor of World Wide Web warns of threat to internet
203,2014-09,1991,1,Bringing gesture-control technology from Hollywood to corporate conference rooms
204,2014-09,1994,2,Friend or foe? Robots could be either. You might even marry one<br><br>Scientists come closer to the industrial synthesis of a material harder than diamond
205,2014-09,1995,1,"Nanotechnology leads to better, cheaper LEDs for phones and lighting"
206,2014-09,1999,1,Bringing gesture-control technology from Hollywood to corporate conference rooms
207,2014-09,2003,2,"Bringing gesture-control technology from Hollywood to corporate conference rooms<br><br>China to launch second space lab in 2016, official says"
208,2014-09,2004,4,A novel liquid metal battery for grid-level storage<br><br>Layered graphene sandwich for next generation electronics<br><br>Friend or foe? Robots could be either. You might even marry one<br><br>Your essential guide to the rise of the intelligent machines
209,2014-09,2005,2,A novel liquid metal battery for grid-level storage<br><br>Making drones more customizable
210,2014-09,2006,3,A novel liquid metal battery for grid-level storage<br><br>Bringing gesture-control technology from Hollywood to corporate conference rooms<br><br>Making drones more customizable
211,2014-09,2007,1,Making drones more customizable
212,2014-09,2008,1,Bringing gesture-control technology from Hollywood to corporate conference rooms
213,2014-09,2009,1,Making drones more customizable
214,2014-09,2010,5,Non-volatile memory improves energy efficiency by two orders of magnitude<br><br>Wind energy cuts the electricity bill<br><br>A novel liquid metal battery for grid-level storage<br><br>Making drones more customizable<br><br>Sandia magnetized fusion technique produces significant results
215,2014-09,2011,4,"Non-volatile memory improves energy efficiency by two orders of magnitude<br><br>A novel liquid metal battery for grid-level storage<br><br>China to launch second space lab in 2016, official says<br><br>Engineer aims to connect the world with ant-sized radios"
216,2014-09,2012,5,"Looking at the future through graphene goggles<br><br>Engineer aims to connect the world with ant-sized radios<br><br>Quick-change materials break the silicon speed limit for computers<br><br>Sandia magnetized fusion technique produces significant results<br><br>Nanotechnology leads to better, cheaper LEDs for phones and lighting"
217,2014-09,2013,5,"Non-volatile memory improves energy efficiency by two orders of magnitude<br><br>China to launch second space lab in 2016, official says<br><br>Wiping the slate clean: Erasing cellular memory and resetting human stem cells<br><br>Making drones more customizable<br><br>Magnetic neural control with nanoparticles"
218,2014-09,2014,24,"Robots unlikely to take big bites out of employment, expert says<br><br>Google working on super-fast 'quantum' computer chip<br><br>Wind energy cuts the electricity bill<br><br>Atomically thin material opens door for integrated nanophotonic circuits<br><br>First graphene-based flexible display produced<br><br>Bringing gesture-control technology from Hollywood to corporate conference rooms<br><br>Australia's first fuel cell bicycle<br><br>Looking at the future through graphene goggles<br><br>Tesla chief says self-driving cars just around corner<br><br>China to launch second space lab in 2016, official says<br><br>Friend or foe? Robots could be either. You might even marry one<br><br>Engineers develop first intelligent, heated clothing<br><br>Making drones more customizable<br><br>Wearable computing and privacy invasions you might want to think about now<br><br>Google to test cars without a driver<br><br>Toward making lithium-sulfur batteries a commercial reality for a bigger energy punch<br><br>Number of websites explodes past a billion (and counting)<br><br>Magnetic neural control with nanoparticles<br><br>Island to get first German drone delivery service<br><br>Five ways the superintelligence revolution might happen<br><br>Your essential guide to the rise of the intelligent machines<br><br>Sandia magnetized fusion technique produces significant results<br><br>Nanotechnology leads to better, cheaper LEDs for phones and lighting<br><br>Nano-engineering enhances charge transport, promises more efficient future solar cells"
219,2014-09,2015,6,"A novel liquid metal battery for grid-level storage<br><br>Tesla chief says self-driving cars just around corner<br><br>China to launch second space lab in 2016, official says<br><br>Making drones more customizable<br><br>Google to test cars without a driver<br><br>Sandia magnetized fusion technique produces significant results"
220,2014-09,2016,2,"China to launch second space lab in 2016, official says<br><br>Magnetic neural control with nanoparticles"
221,2014-09,2018,1,"China to launch second space lab in 2016, official says"
222,2014-09,2022,1,"China to launch second space lab in 2016, official says"
223,2014-09,2025,1,Tesla chief says self-driving cars just around corner
224,2014-09,2035,1,Tesla chief says self-driving cars just around corner
225,2014-09,2050,1,Five ways the superintelligence revolution might happen
232,2014-10,1970,1,"US tidal floods will be 'chronic' in 15 yrs, study claims"
233,2014-10,1998,1,Scientists show IQs on the rise
234,2014-10,1999,1,Arrays of tiny conical tips that eject ionized materials could fabricate nanoscale devices cheaply
235,2014-10,2001,2,Majorana fermion: Physicists observe elusive particle that is its own antiparticle<br><br>NASA investigating deep-space hibernation technology
236,2014-10,2004,2,Obstacles to a revolution in air technology<br><br>NASA is catalyst for hydrogen technology
237,2014-10,2005,1,NASA is catalyst for hydrogen technology
238,2014-10,2006,2,NASA is catalyst for hydrogen technology<br><br>Electric-car drivers trading gas for solar power (Update)
239,2014-10,2008,1,Beating battery drain: Power-conserving chip may increase smartphone battery life
240,2014-10,2009,1,Beating battery drain: Power-conserving chip may increase smartphone battery life
241,2014-10,2010,1,Beating battery drain: Power-conserving chip may increase smartphone battery life
242,2014-10,2011,2,Electric-car drivers trading gas for solar power (Update)<br><br>Scientists show IQs on the rise
243,2014-10,2012,5,"Majorana fermion: Physicists observe elusive particle that is its own antiparticle<br><br>US tidal floods will be 'chronic' in 15 yrs, study claims<br><br>UW fusion reactor concept could be cheaper than coal<br><br>Physicists set new records for silicon quantum computing<br><br>Electric-car drivers trading gas for solar power (Update)"
244,2014-10,2013,7,"Battery system will be able to light 2,500 homes<br><br>Majorana fermion: Physicists observe elusive particle that is its own antiparticle<br><br>Physicists set new records for silicon quantum computing<br><br>NASA is catalyst for hydrogen technology<br><br>Is big data heading for its 'horsemeat moment'?<br><br>Beating battery drain: Power-conserving chip may increase smartphone battery life<br><br>Electric-car drivers trading gas for solar power (Update)"
